id,Question,Answer
1,What did Martin Luther King Jr. fight for?,"He was a leader in the Civil Rights Movement, fighting for equal rights and fair treatment for Black people."
2,"If you can't find your favorite shirt, what's a way to avoid the same problem next time?","Problem-solving can prevent future problems! Maybe organize your clothes, or put it away neatly right after wearing it."
3,What is a raincoat for?,Raincoats are made of special material that keeps the rain out and you dry
4,"If you have leftovers you don't think you'll eat, but they're still good, what's a kind thing to do?","Offer to share with a neighbor, friend, or someone who might need a meal."
5,"What shape is round, with no sides or corners?",A circle!
6,"If a helper is coming to YOUR house to fix something, should you let them in by yourself?",Never!  Only a grownup should answer the door if you are home alone.
7,Have you ever had a helper make you feel less scared or worried?,Good helpers do that!  They're calm and know how to make things better.
8,"If you see your friend being bullied, what can you do?",Stand up for them if it's safe. Tell a trusted grown-up to get help.
9,How did the moon form?,"Scientists think a giant object smashed into Earth long ago, and the debris from that crash formed the moon!"
10,What is the tallest mountain in the world?,Mount Everest
11,Where do we get the energy to run and play?,From the food we eat!
12,What are the rings around Saturn made of?,Billions of pieces of ice and rock
13,"Is corn a fruit, vegetable, or a grain?",Corn is actually a grain!
14,Do teachers only help kids in school?,"No! There are teachers for all ages who help people learn music, sports, even how to cook!"
15,"I have a head and a tail, but no legs. I can be shiny or dull. What am I?",A coin!
16,Are board games a good way to exercise?,"They exercise your brain, but not your body much. Both kinds of exercise are important!"
17,What are germs?,Tiny things that can make us sick.  They're so small we can't see them!
18,What is a comet?,"Comets are like dirty snowballs in space! They're made of ice, dust, and rock, and sometimes grow long, glowing tails."
19,Why does dropping a heavy thing and a light thing at the same time make them hit the ground together?,"Gravity pulls on everything with the same force, regardless of how heavy or light it is! (If we ignore air resistance)"
20,What sports equipment do you need to play baseball?,"A bat, a ball, gloves for catching, and bases to run around."
21,What's the difference between regular milk and chocolate milk?,"Chocolate milk has added flavors and sugar, regular milk is plain."
22,What if you try building something and it collapses? Is that a failure?,Not really!  It's an experiment that didn't work this time - now you can redesign and try again stronger!
23,How does our brain help us move?,"Our brain coordinates our movements! It sends signals to our muscles, telling them when and how to contract."
24,What are some different sections or aisles you find in a grocery store?,"Produce (fruits & veggies), dairy, meat, frozen foods, aisles with snacks, drinks, etc."
25,Why do we have muscles?,"Muscles make us move! They pull on our bones, letting us run, jump, smile and do all sorts of things."
26,Why is it important to follow a recipe carefully?,Recipes are like instructions!  They have the right amounts and order to make it come out tasty.
27,Does solving problems make you better at solving the next problem?,Yes!  It builds your problem-solving 'muscles' and makes you more confident.
28,How do astronauts float in space?,"There's very little gravity in space, which makes things float!  It feels like they're always falling, but they're really always orbiting Earth."
29,What happens if we don't shower sometimes?,"Showering helps wash away dirt, sweat and germs. Not showering can make us smell bad and our skin feel itchy or uncomfortable."
30,"If your parents have a new baby, what will that baby be to you?",Your sibling (a brother or sister)
31,Where does electricity come from?,"Electricity can be made in different ways! Power plants burn fuels, or use energy from wind, water, or the sun to generate it. "
32,Is it okay to ask politely for a different healthy food if you really don't like the one that's made?,Yes!  It's good to communicate what you like and don't like.
33,What does the word 'giggle' mean?,"It means to laugh in a quiet, happy way. When something makes you giggle, it might make your shoulders shake a little!"
34,Can you name 3 vegetables?,"Carrots, broccoli, lettuce, spinach"
35,"Can pets carry germs, even if they seem healthy?",Yes! It's important to wash our hands after playing with our pets.
