Question,Answer,source,user_text,assistant_text,user_words,assistant_words,length_ratio,assistant_fkg
"What word describes a color that is very, very dark?",Black!  Like the night sky when there's no moon.,child_qa,"What word describes a color that is very, very dark?",Black!  Like the night sky when there's no moon.,10,9,0.9,-0.27999999999999936
What are some special tools or equipment that firefighters use?,"Hoses, ladders, axes, protective suits, and their big firetrucks!",child_qa,What are some special tools or equipment that firefighters use?,"Hoses, ladders, axes, protective suits, and their big firetrucks!",10,9,0.9,6.2755555555555596
Should you squeeze fruits and vegetables before putting them in your cart?,"Gently, to check if they're too soft or mushy (that means they might be old). But be careful not to bruise them!",child_qa,Should you squeeze fruits and vegetables before putting them in your cart?,"Gently, to check if they're too soft or mushy (that means they might be old). But be careful not to bruise them!",12,22,1.8333333333333333,2.109090909090913
Who is a superstar gymnast who has won lots of Olympic medals?,Simone Biles is an amazing gymnast!,child_qa,Who is a superstar gymnast who has won lots of Olympic medals?,Simone Biles is an amazing gymnast!,12,6,0.5,6.416666666666668
Can you see germs with your eyes?,"Nope, they're way too tiny. We only know they're there if we get sick, or under a special microscope.",child_qa,Can you see germs with your eyes?,"Nope, they're way too tiny. We only know they're there if we get sick, or under a special microscope.",7,19,2.7142857142857144,3.641315789473687
Do all sports use a ball?,"Nope!  Some do, but there are sports like gymnastics, running, swimming, and dancing that don't need a ball.",child_qa,Do all sports use a ball?,"Nope!  Some do, but there are sports like gymnastics, running, swimming, and dancing that don't need a ball.",6,18,3.0,6.507777777777779
What does a yellow light mean?,Slow down and get ready to stop. It's about to turn red!,child_qa,What does a yellow light mean?,Slow down and get ready to stop. It's about to turn red!,6,12,2.0,0.5166666666666693
Did you know there's a lady with a mysterious smile in a super famous painting?  Who painted it?,"That's the Mona Lisa, painted by the amazing Leonardo da Vinci.",child_qa,Did you know there's a lady with a mysterious smile in a super famous painting?  Who painted it?,"That's the Mona Lisa, painted by the amazing Leonardo da Vinci.",18,11,0.6111111111111112,10.154545454545456
Should you try a food more than once to decide if you really don't like it?,"Yes! Our tastebuds change as we grow, you might like it later.",child_qa,Should you try a food more than once to decide if you really don't like it?,"Yes! Our tastebuds change as we grow, you might like it later.",16,12,0.75,3.84
What word means to feel like you need to sleep?,"Tired or sleepy.  When you're tired, you might yawn a lot or your eyes might feel heavy.",child_qa,What word means to feel like you need to sleep?,"Tired or sleepy.  When you're tired, you might yawn a lot or your eyes might feel heavy.",10,17,1.7,2.301470588235297
What makes thunder?,Lightning gets super-hot and makes the air around it explode really fast – that's the BOOM of thunder!,child_qa,What makes thunder?,Lightning gets super-hot and makes the air around it explode really fast – that's the BOOM of thunder!,3,18,6.0,7.698823529411765
What tool can you use to measure how tall you are?,A ruler or a measuring tape.,child_qa,What tool can you use to measure how tall you are?,A ruler or a measuring tape.,11,6,0.5454545454545454,4.450000000000003
Is pizza a healthy food to eat every single day?," Nope! It's okay sometimes, but our bodies need lots of different foods to be healthy.",child_qa,Is pizza a healthy food to eat every single day?," Nope! It's okay sometimes, but our bodies need lots of different foods to be healthy.",10,15,1.5,7.566666666666666
Do you have a favorite way to exercise?,There's no wrong answer!  Whatever you find fun is the best kind of exercise.,child_qa,Do you have a favorite way to exercise?,There's no wrong answer!  Whatever you find fun is the best kind of exercise.,8,14,1.75,3.1542857142857166
What are some kitchen tools kids can use?,"Spoons for mixing, butter knives, whisks, cookie cutters, measuring cups...",child_qa,What are some kitchen tools kids can use?,"Spoons for mixing, butter knives, whisks, cookie cutters, measuring cups...",8,10,1.25,7.190000000000001
Are there healthy snacks you can keep in your backpack or lunchbox?,"Totally!  Things like fruit, nuts, or whole grain crackers.",child_qa,Are there healthy snacks you can keep in your backpack or lunchbox?,"Totally!  Things like fruit, nuts, or whole grain crackers.",12,9,0.75,3.653333333333336
Why do we have different colored skin?,"Our bodies have something called melanin, which gives our skin its color. Everyone has unique amounts, that's why we have so many beautiful skin colors!",child_qa,Why do we have different colored skin?,"Our bodies have something called melanin, which gives our skin its color. Everyone has unique amounts, that's why we have so many beautiful skin colors!",7,25,3.5714285714285716,8.165000000000003
Do engineers design the cars we drive?,"Yes! Automotive engineers play a big role in making cars safe, how they look, and all the technology inside them.",child_qa,Do engineers design the cars we drive?,"Yes! Automotive engineers play a big role in making cars safe, how they look, and all the technology inside them.",7,20,2.857142857142857,9.910000000000004
Which country is famous for men wearing skirts called kilts?,Scotland!,child_qa,Which country is famous for men wearing skirts called kilts?,Scotland!,10,1,0.1,8.400000000000002
"If you're hungry and there's no food in the house, what are some solutions?","Ask a grownup for help making a snack, see if you can go to the store, maybe order food delivery.",child_qa,"If you're hungry and there's no food in the house, what are some solutions?","Ask a grownup for help making a snack, see if you can go to the store, maybe order food delivery.",14,20,1.4285714285714286,8.140000000000004
Have you ever seen someone making clothes by hand?,"People knit, sew, and craft clothes as a hobby!  Sometimes people sew to fix clothes, too.",child_qa,Have you ever seen someone making clothes by hand?,"People knit, sew, and craft clothes as a hobby!  Sometimes people sew to fix clothes, too.",9,16,1.7777777777777777,2.280000000000001
"If you have six cookies and eat three, how many would be left?",You'd have three left! Six minus three equals three.,child_qa,"If you have six cookies and eat three, how many would be left?",You'd have three left! Six minus three equals three.,13,9,0.6923076923076923,0.5872222222222234
What are clothes made of?,"Clothes can be made from cotton, wool, silk, and lots of other fabrics!",child_qa,What are clothes made of?,"Clothes can be made from cotton, wool, silk, and lots of other fabrics!",5,13,2.6,4.003076923076925
How do you know how much something costs at the grocery store?,There's a price tag on the shelf or on the item itself.,child_qa,How do you know how much something costs at the grocery store?,There's a price tag on the shelf or on the item itself.,12,12,1.0,2.8566666666666656
Can you think of another word for 'run'?,"Sprint, dash, hurry, or race!",child_qa,Can you think of another word for 'run'?,"Sprint, dash, hurry, or race!",8,5,0.625,0.5199999999999996
Why do we wear seatbelts in cars?,"Seatbelts help keep us safe if a car stops suddenly.  Without them, we'd keep moving forward due to a force called inertia!",child_qa,Why do we wear seatbelts in cars?,"Seatbelts help keep us safe if a car stops suddenly.  Without them, we'd keep moving forward due to a force called inertia!",7,22,3.142857142857143,4.790909090909089
Can food be healthy AND delicious?,Absolutely! There are so many tasty recipes with good-for-you ingredients.,child_qa,Can food be healthy AND delicious?,Absolutely! There are so many tasty recipes with good-for-you ingredients.,6,10,1.6666666666666667,14.270000000000007
Is there a place called 9-1-1 that you should call if you need help in an emergency?,"Yes! It's very important to know that number, but only call if there's a real emergency.",child_qa,Is there a place called 9-1-1 that you should call if you need help in an emergency?,"Yes! It's very important to know that number, but only call if there's a real emergency.",17,16,0.9411764705882353,8.350000000000005
Why do we measure things?,"Measuring tells us how tall, long, heavy, or how much of something there is.",child_qa,Why do we measure things?,"Measuring tells us how tall, long, heavy, or how much of something there is.",5,14,2.8,5.041428571428572
Setting the table is part of cooking too! Do you like to help with that?,It makes the meal feel special and shows you care about the food you made.,child_qa,Setting the table is part of cooking too! Do you like to help with that?,It makes the meal feel special and shows you care about the food you made.,15,15,1.0,3.633333333333333
Why do some things in the grocery store have barcodes on them?,The cashier scans the barcode to find out the price and add it to your bill.,child_qa,Why do some things in the grocery store have barcodes on them?,The cashier scans the barcode to find out the price and add it to your bill.,12,16,1.3333333333333333,3.9250000000000007
Are all germs bad?,Nope! There are good germs in our bodies that help with digestion and keeping us healthy.,child_qa,Are all germs bad?,Nope! There are good germs in our bodies that help with digestion and keeping us healthy.,4,16,4.0,6.8750000000000036
Why do we sometimes 'pull a muscle'?,Pulling a muscle means overstretching or tearing the muscle fibers. This can happen if we don't warm up properly or push ourselves too hard.,child_qa,Why do we sometimes 'pull a muscle'?,Pulling a muscle means overstretching or tearing the muscle fibers. This can happen if we don't warm up properly or push ourselves too hard.,7,24,3.4285714285714284,6.790000000000003
Where can we find different types of rocks?,"Rocks are everywhere! In mountains, by rivers, on beaches, even in your backyard!",child_qa,Where can we find different types of rocks?,"Rocks are everywhere! In mountains, by rivers, on beaches, even in your backyard!",8,13,1.625,5.098846153846157
Why do we need to wash our hands?,Washing hands gets rid of germs that can make us sick. It's like giving those nasty germs a super bubbly eviction!,child_qa,Why do we need to wash our hands?,Washing hands gets rid of germs that can make us sick. It's like giving those nasty germs a super bubbly eviction!,8,21,2.625,4.238333333333333
What were the pyramids in Egypt built for?,Pyramids were built as tombs for powerful Pharaohs (ancient Egyptian rulers).,child_qa,What were the pyramids in Egypt built for?,Pyramids were built as tombs for powerful Pharaohs (ancient Egyptian rulers).,8,11,1.375,10.154545454545456
Where do babies come from?,"Babies grow inside a special place in their mom's tummy called the uterus. When they're ready to be born, they come out through a special opening.",child_qa,Where do babies come from?,"Babies grow inside a special place in their mom's tummy called the uterus. When they're ready to be born, they come out through a special opening.",5,26,5.2,5.818461538461541
What are some kind things you could say to your friend if they're feeling sad?,"'Are you okay?' 'I'm sorry you're sad,' or 'Do you want a hug?'",child_qa,What are some kind things you could say to your friend if they're feeling sad?,"'Are you okay?' 'I'm sorry you're sad,' or 'Do you want a hug?'",15,13,0.8666666666666667,0.560384615384617
What are the main food groups?,"Fruits, vegetables, grains, protein foods, and dairy (like milk and yogurt).",child_qa,What are the main food groups?,"Fruits, vegetables, grains, protein foods, and dairy (like milk and yogurt).",6,11,1.8333333333333333,5.863636363636363
Who is a famous athlete who became a boxer and activist?,Muhammad Ali was a boxing champion and fought for important causes.,child_qa,Who is a famous athlete who became a boxer and activist?,Muhammad Ali was a boxing champion and fought for important causes.,11,11,1.0,10.154545454545456
How can you add more vegetables to a pizza you make at home?,"Onions, peppers, mushrooms, spinach – load up those toppings!",child_qa,How can you add more vegetables to a pizza you make at home?,"Onions, peppers, mushrooms, spinach – load up those toppings!",13,9,0.6923076923076923,6.705000000000002
Is it important to warm up before playing hard?,Yes!  Stretching or a light jog helps our muscles get ready and prevents getting hurt.,child_qa,Is it important to warm up before playing hard?,Yes!  Stretching or a light jog helps our muscles get ready and prevents getting hurt.,9,15,1.6666666666666667,6.780000000000001
What kind of big machines do you sometimes see on construction sites? ,"Cranes, bulldozers, excavators, dump trucks...",child_qa,What kind of big machines do you sometimes see on construction sites? ,"Cranes, bulldozers, excavators, dump trucks...",12,5,0.4166666666666667,9.96
"What are some foods that have a very long shelf life, meaning they last a long time?","Canned goods, pasta, rice, things in jars.",child_qa,"What are some foods that have a very long shelf life, meaning they last a long time?","Canned goods, pasta, rice, things in jars.",17,7,0.4117647058823529,0.6257142857142846
Should you cough or sneeze into your hand?,"Nope!  Into your elbow is better, so you don't spread germs on your hands.",child_qa,Should you cough or sneeze into your hand?,"Nope!  Into your elbow is better, so you don't spread germs on your hands.",8,14,1.75,4.19857142857143
Why do we get tired after exercising?,"Our muscles run low on energy, and they also produce waste products that make them feel sore and tired.",child_qa,Why do we get tired after exercising?,"Our muscles run low on energy, and they also produce waste products that make them feel sore and tired.",7,19,2.7142857142857144,8.588421052631581
What causes a storm?,Storms happen when warm air and cold air meet and mix in the atmosphere – it makes the air swirl and causes strong winds and rain.,child_qa,What causes a storm?,Storms happen when warm air and cold air meet and mix in the atmosphere – it makes the air swirl and causes strong winds and rain.,4,26,6.5,7.8480000000000025
How do we taste things?,"Our tongues have tiny taste buds! They sense sweet, sour, salty, and other flavors and send signals to our brain.",child_qa,How do we taste things?,"Our tongues have tiny taste buds! They sense sweet, sour, salty, and other flavors and send signals to our brain.",5,20,4.0,4.830000000000002
Think of a water well with a bucket on a rope.  What simple machines are being used to draw water up?,"A pulley to make lifting the bucket easier, and a wheel and axle as part of the handle you crank. ",child_qa,Think of a water well with a bucket on a rope.  What simple machines are being used to draw water up?,"A pulley to make lifting the bucket easier, and a wheel and axle as part of the handle you crank. ",21,20,0.9523809523809523,8.140000000000004
What rhymes with 'blue'?,"Shoe, glue, flew...",child_qa,What rhymes with 'blue'?,"Shoe, glue, flew...",4,3,0.75,-2.619999999999999
"Besides sandwiches, what else can you spread peanut butter on?","Apples, bananas, crackers, or even celery stalks.",child_qa,"Besides sandwiches, what else can you spread peanut butter on?","Apples, bananas, crackers, or even celery stalks.",10,7,0.7,10.740000000000002
Why do we need money?,We use money to buy the things we need and want. It's a way of trading something everyone agrees has value.,child_qa,Why do we need money?,We use money to buy the things we need and want. It's a way of trading something everyone agrees has value.,5,21,4.2,4.238333333333333
"If your friend is good at drawing and you're not, does that mean you never will be?",Nope!  They might have practiced more. A growth mindset means believing you can improve too.,child_qa,"If your friend is good at drawing and you're not, does that mean you never will be?",Nope!  They might have practiced more. A growth mindset means believing you can improve too.,17,15,0.8823529411764706,3.068333333333335
Why do sneezes come out so fast?,Sneezes are our body's way of blasting out dust or things that bother our nose! The air shoots out to get rid of those irritations.,child_qa,Why do sneezes come out so fast?,Sneezes are our body's way of blasting out dust or things that bother our nose! The air shoots out to get rid of those irritations.,7,25,3.5714285714285716,5.333000000000002
Why do doctors sometimes give you a shot (vaccine)?,It's a tiny bit of medicine that helps your body learn to fight off germs and stay healthy.,child_qa,Why do doctors sometimes give you a shot (vaccine)?,It's a tiny bit of medicine that helps your body learn to fight off germs and stay healthy.,9,18,2.0,6.507777777777779
Why do we blink?,"Blinking cleans and moistens our eyes, keeping them healthy and seeing clearly.",child_qa,Why do we blink?,"Blinking cleans and moistens our eyes, keeping them healthy and seeing clearly.",4,12,3.0,7.773333333333333
"Whose job is it to try the healthy foods grown-ups make, even just a bite?",Kids!  Our tastebuds change as we grow.,child_qa,"Whose job is it to try the healthy foods grown-ups make, even just a bite?",Kids!  Our tastebuds change as we grow.,15,7,0.4666666666666667,2.3114285714285714
Is the number four odd or even?,The number four is even. Even numbers always have a partner to match up with!,child_qa,Is the number four odd or even?,The number four is even. Even numbers always have a partner to match up with!,7,15,2.142857142857143,3.8550000000000004
"Where can you donate food if you buy too much, or have cans in your pantry you won't eat?",Food banks! They help families who don't have enough to eat.,child_qa,"Where can you donate food if you buy too much, or have cans in your pantry you won't eat?",Food banks! They help families who don't have enough to eat.,19,11,0.5789473684210527,3.7181818181818187
"What if your friend is happy about something, how can you share their excitement?","Smile, say 'That's awesome!'  or 'I'm happy for you!'  Being happy with them is a kind way to show you care.",child_qa,"What if your friend is happy about something, how can you share their excitement?","Smile, say 'That's awesome!'  or 'I'm happy for you!'  Being happy with them is a kind way to show you care.",14,21,1.5,1.187619047619048
Why do sunflowers follow the sun?,Young sunflowers turn towards the sun to get more energy to grow big and strong!,child_qa,Why do sunflowers follow the sun?,Young sunflowers turn towards the sun to get more energy to grow big and strong!,6,15,2.5,5.993333333333336
Did people always have supermarkets to get their food?,"Nope!  Long ago they had to grow their own, or go to small markets.",child_qa,Did people always have supermarkets to get their food?,"Nope!  Long ago they had to grow their own, or go to small markets.",9,14,1.5555555555555556,3.355714285714285
What's one food that comes from a chicken?,Eggs!,child_qa,What's one food that comes from a chicken?,Eggs!,8,1,0.125,-3.3999999999999986
Why do we need to go to the doctor for check-ups?,Doctors make sure we're growing healthy and strong! They can also catch things early if we might be getting sick.,child_qa,Why do we need to go to the doctor for check-ups?,Doctors make sure we're growing healthy and strong! They can also catch things early if we might be getting sick.,11,20,1.8181818181818181,3.650000000000002
"What's a better snack choice, an apple or cookies?",An apple!  It's naturally sweet and has vitamins.  Cookies are mostly sugar.,child_qa,"What's a better snack choice, an apple or cookies?",An apple!  It's naturally sweet and has vitamins.  Cookies are mostly sugar.,9,12,1.3333333333333333,7.400000000000002
Why do some animals migrate?,"Animals migrate (travel long distances) to find food, warmer weather, or a safe place to have babies.",child_qa,Why do some animals migrate?,"Animals migrate (travel long distances) to find food, warmer weather, or a safe place to have babies.",5,17,3.4,9.08705882352941
What kind of story usually starts with 'Once upon a time'?,A fairy tale!,child_qa,What kind of story usually starts with 'Once upon a time'?,A fairy tale!,11,3,0.2727272727272727,1.3133333333333361
What happened during World War II?,A huge war involving many countries around the world. It lasted from 1939-1945.,child_qa,What happened during World War II?,A huge war involving many countries around the world. It lasted from 1939-1945.,6,13,2.1666666666666665,4.191153846153846
Why do some people snore?,"When people snore, it's because the air they breathe vibrates tissues in their throat, making that noisy sound!",child_qa,Why do some people snore?,"When people snore, it's because the air they breathe vibrates tissues in their throat, making that noisy sound!",5,18,3.6,7.163333333333334
"If you drop food on the floor, is it safe to eat if you pick it up really fast?",Nope!  Germs stick to things SUPER quickly (this is called the '5-second rule' myth!),child_qa,"If you drop food on the floor, is it safe to eat if you pick it up really fast?",Nope!  Germs stick to things SUPER quickly (this is called the '5-second rule' myth!),19,14,0.7368421052631579,4.19857142857143
Who were the ancient Greeks famous for?,"Big thinkers (philosophers), stories of gods and heroes (mythology), the Olympic games, and their style of buildings.",child_qa,Who were the ancient Greeks famous for?,"Big thinkers (philosophers), stories of gods and heroes (mythology), the Olympic games, and their style of buildings.",7,17,2.4285714285714284,11.169411764705881
What does a crossing guard do?,They help children cross the street safely on their way to school. ,child_qa,What does a crossing guard do?,They help children cross the street safely on their way to school. ,6,12,2.0,2.8566666666666656
Why do we need to eat foods from all the food groups?,"Different food groups give our bodies different things it needs to be healthy – like vitamins, energy, and stuff to make us strong!",child_qa,Why do we need to eat foods from all the food groups?,"Different food groups give our bodies different things it needs to be healthy – like vitamins, energy, and stuff to make us strong!",12,23,1.9166666666666667,10.690000000000001
Why do bubbles float in the air?,"Bubbles are actually filled with air, just like the air around them!  But the soapy film of a bubble is a bit heavier, so they slowly float down.",child_qa,Why do bubbles float in the air?,"Bubbles are actually filled with air, just like the air around them!  But the soapy film of a bubble is a bit heavier, so they slowly float down.",7,28,4.0,5.884285714285717
What is the Milky Way?,"The Milky Way is our galaxy! It's a huge collection of stars, gas, and dust shaped like a swirl, and our sun is just one tiny star in it.",child_qa,What is the Milky Way?,"The Milky Way is our galaxy! It's a huge collection of stars, gas, and dust shaped like a swirl, and our sun is just one tiny star in it.",5,29,5.8,5.120172413793107
Do helpers sometimes wear special uniforms or clothes so we know what their job is?,"Yes! Firefighter gear, a doctor's coat, or a police officer's badge helps us recognize them quickly. ",child_qa,Do helpers sometimes wear special uniforms or clothes so we know what their job is?,"Yes! Firefighter gear, a doctor's coat, or a police officer's badge helps us recognize them quickly. ",15,16,1.0666666666666667,9.087500000000002
What do doctors and nurses wear sometimes to protect themselves from germs?,Masks and gloves!,child_qa,What do doctors and nurses wear sometimes to protect themselves from germs?,Masks and gloves!,12,3,0.25,-2.619999999999999
Who is a famous athlete who became a boxer and activist?,Muhammad Ali was a boxing champion and fought for important causes.,child_qa,Who is a famous athlete who became a boxer and activist?,Muhammad Ali was a boxing champion and fought for important causes.,11,11,1.0,10.154545454545456
What solid shape is round like a ball?,A sphere!,child_qa,What solid shape is round like a ball?,A sphere!,8,2,0.25,-3.01
Can you name a famous tennis player known for her powerful serve?,Serena Williams is a top tennis champion!,child_qa,Can you name a famous tennis player known for her powerful serve?,Serena Williams is a top tennis champion!,12,7,0.5833333333333334,9.054285714285715
"Can you think of a long, flowing dress worn by women in India?","It's called a sari, and they come in beautiful colors and patterns!",child_qa,"Can you think of a long, flowing dress worn by women in India?","It's called a sari, and they come in beautiful colors and patterns!",13,12,0.9230769230769231,5.806666666666668
What does hand sanitizer do?,It kills some germs when you can't wash with soap and water.,child_qa,What does hand sanitizer do?,It kills some germs when you can't wash with soap and water.,5,12,2.4,1.8733333333333313
Why do we put bandages on cuts?,To keep them clean and help them heal faster.,child_qa,Why do we put bandages on cuts?,To keep them clean and help them heal faster.,7,9,1.2857142857142858,1.0311111111111124
What is blood made of?,"Blood is like a liquid transport system! It carries oxygen, nutrients, waste products, and helpers that fight off germs.",child_qa,What is blood made of?,"Blood is like a liquid transport system! It carries oxygen, nutrients, waste products, and helpers that fight off germs.",5,19,3.8,6.125526315789475
Why does oil splatter when you add water?,Water turns to steam (gas) instantly when it hits hot oil.  This sudden expansion makes the oil splash outwards.,child_qa,Why does oil splatter when you add water?,Water turns to steam (gas) instantly when it hits hot oil.  This sudden expansion makes the oil splash outwards.,8,19,2.375,4.262368421052631
What's death?,"Death is when someone's body no longer works and they can't come back. It's a part of life, but that doesn't make it easy. If you're worried about someone who died, or just curious about it, you can talk to your mom/dad, or a trusted grown-up.",child_qa,What's death?,"Death is when someone's body no longer works and they can't come back. It's a part of life, but that doesn't make it easy. If you're worried about someone who died, or just curious about it, you can talk to your mom/dad, or a trusted grown-up.",2,46,23.0,5.78130434782609
"What word describes a color that has no color at all, like snow?",White!  A blank piece of paper is white too.,child_qa,"What word describes a color that has no color at all, like snow?",White!  A blank piece of paper is white too.,13,9,0.6923076923076923,1.0311111111111124
Is it okay to ask politely to be excused if you really don't like the food that's served?,Yes! It's good to communicate what you like and don't like in a polite way.,child_qa,Is it okay to ask politely to be excused if you really don't like the food that's served?,Yes! It's good to communicate what you like and don't like in a polite way.,18,15,0.8333333333333334,5.206666666666667
Are aliens real?,"We don't know yet! Scientists are searching for signs of life on other planets, but haven't found proof of aliens so far.",child_qa,Are aliens real?,"We don't know yet! Scientists are searching for signs of life on other planets, but haven't found proof of aliens so far.",3,22,7.333333333333333,4.790909090909089
"What kind of animal gives us soft, fluffy wool for sweaters?",Sheep!,child_qa,"What kind of animal gives us soft, fluffy wool for sweaters?",Sheep!,11,1,0.09090909090909091,-3.3999999999999986
"If something is 'delicious', how does it taste?",Really yummy! Delicious food makes you want to eat lots more. What's your favorite delicious snack?,child_qa,"If something is 'delicious', how does it taste?",Really yummy! Delicious food makes you want to eat lots more. What's your favorite delicious snack?,8,16,2.0,5.230000000000004
"When eating at a restaurant, is it important to use good manners?","Yes! It shows respect to the people who cooked the food, and those around you.",child_qa,"When eating at a restaurant, is it important to use good manners?","Yes! It shows respect to the people who cooked the food, and those around you.",12,15,1.25,4.420000000000002
Why do old people sometimes get wrinkles?,"As we get older, our skin changes and becomes less stretchy. This can make wrinkles, which are like little folds in our skin.",child_qa,Why do old people sometimes get wrinkles?,"As we get older, our skin changes and becomes less stretchy. This can make wrinkles, which are like little folds in our skin.",7,23,3.2857142857142856,4.286304347826089
Why do we have to wash our hands?,Washing hands gets rid of germs that can make us sick. It's like giving those nasty germs a super bubbly eviction!,child_qa,Why do we have to wash our hands?,Washing hands gets rid of germs that can make us sick. It's like giving those nasty germs a super bubbly eviction!,8,21,2.625,4.238333333333333
What does an illustrator do?,An illustrator creates the pictures you see in a book.,child_qa,What does an illustrator do?,An illustrator creates the pictures you see in a book.,5,10,2.0,6.010000000000002
What does Dora the Explorer always carry?,Her backpack (and Map!),child_qa,What does Dora the Explorer always carry?,Her backpack (and Map!),7,4,0.5714285714285714,0.7199999999999989
